"","year","unitid","sex","ftpt","number_applied","number_admitted","number_enrolled","student_faculty_ratio","institution_level","subcohort","class_level","fed_aid_type","adj_cohort","completers_150pct","completion_rate_150pct","pell_adj_cohort","pell_6yr","total_adj_cohort","total_6yr"
"1",2015,100654,"Total","Full-time",NA,NA,1451,19,"Four or more years","Total","First-time","Total",1073,295,0,789,200,1073,295
"2",2015,100663,"Total","Full-time",NA,NA,1593,18,"Four or more years","Total","First-time","Total",1537,816,0,678,339,1537,816
"3",2015,100690,"Total","Full-time",NA,NA,NA,10,"Four or more years","Total","First-time","Total",8,2,0,6,1,8,2
"4",2015,100706,"Total","Full-time",NA,NA,1027,16,"Four or more years","Total","First-time","Total",600,292,0,201,79,600,292
"5",2015,100724,"Total","Full-time",NA,NA,1008,16,"Four or more years","Total","First-time","Total",1090,236,0,934,199,1090,236
"6",2015,100733,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2015,100751,"Total","Full-time",NA,NA,7176,24,"Four or more years","Total","First-time","Total",5443,3740,0,1150,640,5443,3740
"8",2015,100760,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",404,87,0,257,18,404,87
"9",2015,100812,"Total","Full-time",NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015,100830,"Total","Full-time",NA,NA,568,16,"Four or more years","Total","First-time","Total",681,154,0,387,46,681,154
"11",2015,100858,"Total","Full-time",NA,NA,4855,19,"Four or more years","Total","First-time","Total",4193,3145,0,579,374,4193,3145
"12",2015,100937,"Total","Full-time",NA,NA,441,13,"Four or more years","Total","First-time","Total",368,251,0,94,59,368,251
"13",2015,101028,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",334,37,0,246,11,334,37
"14",2015,101073,"Total","Full-time",NA,NA,304,22,"Four or more years","Total","First-time","Total",197,22,0,196,22,197,22
"15",2015,101116,"Total","Full-time",NA,NA,NA,13,"Four or more years","Total","First-time","Total",40,3,0,36,2,40,3
"16",2015,101143,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",340,51,0,148,13,340,51
"17",2015,101161,"Total","Full-time",NA,NA,NA,27,"Less than four years","Total","First-time","Total",1083,260,0,643,0,1083,260
"18",2015,101189,"Total","Full-time",NA,NA,280,15,"Four or more years","Total","First-time","Total",221,74,0,23,6,221,74
"19",2015,101240,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",1143,185,0,795,79,1143,185
"20",2015,101277,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",79,60,0,65,46,79,60
"21",2015,101286,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",835,173,0,585,36,835,173
"22",2015,101295,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",995,379,0,607,181,995,379
"23",2015,101301,"Total","Full-time",NA,NA,NA,14,"Less than four years","Total","First-time","Total",371,63,0,319,59,371,63
"24",2015,101365,"Total","Full-time",NA,NA,23,14,"Four or more years","Total","First-time","Total",14,1,0,13,1,14,1
"25",2015,101435,"Total","Full-time",NA,NA,252,14,"Four or more years","Total","First-time","Total",271,105,0,110,37,271,105
"26",2015,101453,"Total","Full-time",NA,NA,6,8,"Four or more years","Total","First-time","Total",4,2,0,3,2,4,2
"27",2015,101462,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",142,25,0,121,9,142,25
"28",2015,101471,"Total","Full-time",NA,NA,NA,11,"Less than four years","Total","First-time","Total",238,89,0,1,0,238,89
"29",2015,101480,"Total","Full-time",NA,NA,1021,18,"Four or more years","Total","First-time","Total",1246,442,0,725,231,1246,442
"30",2015,101499,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",242,66,0,140,13,242,66
"31",2015,101505,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",1052,90,0,576,44,1052,90
"32",2015,101514,"Total","Full-time",NA,NA,NA,23,"Less than four years","Total","First-time","Total",1224,206,0,631,67,1224,206
"33",2015,101541,"Total","Full-time",NA,NA,65,9,"Four or more years","Total","First-time","Total",93,31,0,48,6,93,31
"34",2015,101569,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",585,75,0,501,56,585,75
"35",2015,101587,"Total","Full-time",NA,NA,417,13,"Four or more years","Total","First-time","Total",306,95,0,211,63,306,95
"36",2015,101602,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",410,126,0,305,80,410,126
"37",2015,101648,"Total","Full-time",NA,NA,275,17,"Less than four years","Total","First-time","Total",249,72,0,83,27,249,72
"38",2015,101675,"Total","Full-time",NA,NA,NA,17,"Four or more years","Total","First-time","Total",343,57,0,311,49,343,57
"39",2015,101693,"Total","Full-time",NA,NA,286,13,"Four or more years","Total","First-time","Total",233,111,0,94,38,233,111
"40",2015,101709,"Total","Full-time",NA,NA,501,16,"Four or more years","Total","First-time","Total",425,212,0,166,68,425,212
"41",2015,101736,"Total","Full-time",NA,NA,NA,21,"Less than four years","Total","First-time","Total",668,82,0,475,27,668,82
"42",2015,101879,"Total","Full-time",NA,NA,1159,21,"Four or more years","Total","First-time","Total",961,418,0,377,149,961,418
"43",2015,101897,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",538,140,0,406,99,538,140
"44",2015,101912,"Total","Full-time",NA,NA,338,12,"Four or more years","Total","First-time","Total",455,214,0,201,82,455,214
"45",2015,101949,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",423,151,0,265,15,423,151
"46",2015,101958,"Total","Full-time",NA,NA,NA,5,"Less than four years","Total","First-time","Total",3,0,0,2,0,3,0
"47",2015,101994,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",67,31,0,44,16,67,31
"48",2015,102030,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",835,129,0,708,20,835,129
"49",2015,102049,"Total","Full-time",NA,NA,826,12,"Four or more years","Total","First-time","Total",711,516,0,120,80,711,516
"50",2015,102058,"Total","Full-time",NA,NA,NA,12,"Four or more years","Total","First-time","Total",280,275,0,272,267,280,275
"51",2015,102067,"Total","Full-time",NA,NA,NA,22,"Less than four years","Total","First-time","Total",875,122,0,494,53,875,122
"52",2015,102076,"Total","Full-time",NA,NA,NA,23,"Less than four years","Total","First-time","Total",689,196,0,445,122,689,196
"53",2015,102094,"Total","Full-time",NA,NA,2084,20,"Four or more years","Total","First-time","Total",1707,644,0,768,226,1707,644
"54",2015,102234,"Total","Full-time",NA,NA,416,14,"Four or more years","Total","First-time","Total",392,207,0,167,66,392,207
"55",2015,102261,"Total","Full-time",NA,NA,8,8,"Four or more years","Total","First-time","Total",11,4,0,8,4,11,4
"56",2015,102270,"Total","Full-time",NA,NA,306,15,"Four or more years","Total","First-time","Total",291,52,0,271,50,291,52
"57",2015,102298,"Total","Full-time",NA,NA,NA,20,"Four or more years","Total","First-time","Total",211,91,0,162,68,211,91
"58",2015,102313,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",201,67,0,139,14,201,67
"59",2015,102368,"Total","Full-time",NA,NA,1571,15,"Four or more years","Total","First-time","Total",1810,678,0,988,267,1810,678
"60",2015,102377,"Total","Full-time",NA,NA,594,14,"Four or more years","Total","First-time","Total",701,321,0,306,117,701,321
"61",2015,102395,"Total","Full-time",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2015,102429,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",749,166,0,492,36,749,166
"63",2015,102553,"Total","Full-time",NA,NA,1344,15,"Four or more years","Total","First-time","Total",1607,391,0,512,95,1607,391
"64",2015,102580,"Total","Full-time",NA,NA,NA,4,"Four or more years","Total","First-time","Total",10,2,0,1,0,10,2
"65",2015,102614,"Total","Full-time",NA,NA,649,11,"Four or more years","Total","First-time","Total",854,214,0,267,39,854,214
"66",2015,102632,"Total","Full-time",NA,NA,145,12,"Four or more years","Total","First-time","Total",208,36,0,69,10,208,36
"67",2015,102669,"Total","Full-time",NA,NA,36,8,"Four or more years","Total","First-time","Total",33,16,0,13,7,33,16
"68",2015,102711,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",339,318,0,110,101,339,318
"69",2015,102845,"Total","Full-time",NA,NA,NA,16,"Four or more years","Total","First-time","Total",1560,734,0,1200,566,1560,734
"70",2015,103501,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",476,340,0,376,255,476,340
"71",2015,103529,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2015,103644,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2015,103723,"Total","Full-time",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2015,103732,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2015,103741,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",41,16,0,34,13,41,16
"76",2015,103778,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2015,103787,"Total","Full-time",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2015,103811,"Total","Full-time",NA,NA,NA,9,"Less than four years","Total","First-time","Total",385,171,0,172,78,385,171
"79",2015,103893,"Total","Full-time",NA,NA,139,33,"Less than four years","Total","First-time","Total",423,283,0,288,181,423,283
"80",2015,103909,"Total","Full-time",NA,NA,78,37,"Less than four years","Total","First-time","Total",322,236,0,242,177,322,236
"81",2015,103927,"Total","Full-time",NA,NA,91,45,"Less than four years","Total","First-time","Total",255,186,0,189,132,255,186
"82",2015,103945,"Total","Full-time",NA,NA,NA,13,"Four or more years","Total","First-time","Total",102,31,0,85,22,102,31
"83",2015,103954,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",5,2,0,4,1,5,2
"84",2015,103963,"Total","Full-time",NA,NA,NA,21,"Less than four years","Total","First-time","Total",461,258,0,378,200,461,258
"85",2015,104090,"Total","Full-time",NA,NA,NA,35,"Four or more years","Total","First-time","Total",1745,686,0,1611,597,1745,686
"86",2015,104151,"Total","Full-time",NA,NA,8278,23,"Four or more years","Total","First-time","Total",6210,4183,0,2023,1249,6210,4183
"87",2015,104160,"Total","Full-time",NA,NA,NA,21,"Less than four years","Total","First-time","Total",844,147,0,672,106,844,147
"88",2015,104179,"Total","Full-time",NA,NA,6973,22,"Four or more years","Total","First-time","Total",6797,4073,0,2176,1140,6797,4073
"89",2015,104188,"Total","Full-time",NA,NA,NA,7,"Four or more years","Total","First-time","Total",17,15,0,15,13,17,15
"90",2015,104346,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",544,109,0,311,84,544,109
"91",2015,104364,"Total","Full-time",NA,NA,NA,10,"Four or more years","Total","First-time","Total",137,35,0,122,33,137,35
"92",2015,104391,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",51,36,0,32,32,51,36
"93",2015,104425,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",493,112,0,310,66,493,112
"94",2015,104434,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",30,20,0,24,18,30,20
"95",2015,104443,"Total","Full-time",NA,NA,NA,14,"Less than four years","Total","First-time","Total",29,11,0,18,5,29,11
"96",2015,104504,"Total","Full-time",NA,NA,NA,25,"Less than four years","Total","First-time","Total",81,66,0,46,46,81,66
"97",2015,104568,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",158,135,0,111,95,158,135
"98",2015,104577,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",491,146,0,202,60,491,146
"99",2015,104586,"Total","Full-time",NA,NA,579,17,"Four or more years","Total","First-time","Total",352,220,0,118,72,352,220
"100",2015,104665,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2015,104708,"Total","Full-time",NA,NA,NA,22,"Less than four years","Total","First-time","Total",2057,340,0,1167,163,2057,340
"102",2015,104717,"Total","Full-time",NA,NA,2685,17,"Four or more years","Total","First-time","Total",816,349,0,441,169,816,349
"103",2015,104911,"Total","Full-time",NA,NA,NA,26,"Less than four years","Total","First-time","Total",184,73,0,149,56,184,73
"104",2015,105136,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2015,105145,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",334,43,0,229,29,334,43
"106",2015,105154,"Total","Full-time",NA,NA,NA,21,"Less than four years","Total","First-time","Total",1942,294,0,943,122,1942,294
"107",2015,105163,"Total","Full-time",NA,NA,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2015,105172,"Total","Full-time",NA,NA,57,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2015,105206,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",230,36,0,135,26,230,36
"110",2015,105215,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",538,352,0,386,247,538,352
"111",2015,105297,"Total","Full-time",NA,NA,NA,12,"Four or more years","Total","First-time","Total",388,118,0,345,100,388,118
"112",2015,105330,"Total","Full-time",NA,NA,4472,18,"Four or more years","Total","First-time","Total",3739,1993,0,1375,618,3739,1993
"113",2015,105349,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",54,5,0,38,5,54,5
"114",2015,105367,"Total","Full-time",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2015,105428,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",733,109,0,540,64,733,109
"116",2015,105482,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",35,28,0,21,21,35,28
