"","treatment","cash","accts_amt","stroop_time","income_less20k","log_cash","log_accts_amt","log_stroop_time"
"1","Before Payday",30,3000,7.614089012146,0,3.40119738166216,8.00636756765025,2.03000034848115
"2","Before Payday",75,800,7.27333331108093,1,4.31748811353631,6.68461172766793,1.98421468867736
"3","After Payday",110,15000,7.7085637152195,0,4.70048036579242,9.61580548008435,2.04233188166359
"4","After Payday",160,NA,7.35400413473447,0,5.07517381523383,NA,1.99524494512185
"5","Before Payday",40,40000,7.37007714311282,0,3.68887945411394,10.5966347330961,1.99742817332595
"6","After Payday",30,40000,7.25282158454259,0,3.40119738166216,10.5966347330961,1.98139057722894
"7","After Payday",20,1800,7.75099099675814,0,2.99573227355399,7.49554194388426,2.04782070573995
"8","Before Payday",0,29,7.46873611211777,1,0,3.36729582998647,2.01072578966465
"9","After Payday",100,10,7.24156537652016,0,4.60517018598809,2.30258509299405,1.97983739525367
"10","Before Payday",200,10000,7.66231605410576,1,5.29831736654804,9.21034037197618,2.03631429498472
"11","Before Payday",30,234,7.58617064356804,0,3.40119738166216,5.4553211153577,2.02632693755207
"12","Before Payday",113,5300,7.69996744394302,0,4.72738781871234,8.57546209954021,2.04121610079135
"13","Before Payday",20,17,7.35382348299026,1,2.99573227355399,2.83321334405622,1.99522037973409
"14","Before Payday",NA,NA,7.58864744504293,0,NA,NA,2.0266533732935
"15","After Payday",145,1600,7.64385386308034,1,4.97673374242057,7.37775890822787,2.03390190833556
"16","After Payday",10,20,7.66624034444491,1,2.30258509299405,2.99573227355399,2.03682631846858
"17","After Payday",30,500,7.81264739235242,1,3.40119738166216,6.21460809842219,2.05574388110566
"18","After Payday",146,6410,7.6153603096803,0,4.98360662170834,8.76561454991472,2.03016730100982
"19","Before Payday",0,1,7.54327885309855,1,0,0,2.02065694864881
"20","After Payday",100,400,7.51641753315926,1,4.60517018598809,5.99146454710798,2.01708963258397
"21","After Payday",50,2,7.52278962731361,0,3.91202300542815,0.693147180559945,2.01793703025164
"22","After Payday",400,10000,7.57563022772471,0,5.99146454710798,9.21034037197618,2.02493654631414
"23","Before Payday",20,NA,7.65497429172198,0,2.99573227355399,NA,2.0353556707398
"24","After Payday",200,8000,7.13139823079109,0,5.29831736654804,8.98719682066197,1.96450732050037
